fid,powiat,woj,m,k,aprod,prod,pprod,malzenstwa,przyrost
104,Zielona Góra,8,55750,62655,16191,78019,24195,4.6,0.4
105,Gorzów Wielkopolski,8,59262,65082,17743,82716,23885,4.4,-0.6
106,gorzowski,8,34889,35487,11841,48298,10237,4.8,1.8
107,krośnieński,8,27813,28814,8425,38918,9284,4.8,-1.4
108,zielonogórski,8,46887,48032,14813,65702,14404,4.7,0.5
109,międzyrzecki,8,29032,29665,8760,40042,9895,4.3,-0.4
110,nowosolski,8,42639,45088,13650,58391,15686,4.5,-1.1
111,słubicki,8,23259,24059,7554,32636,7128,4.4,-0.6
112,strzelecko-drezdenecki,8,24870,25548,8091,33841,8486,4.3,0
113,sulęciński,8,17794,17974,5723,24359,5686,4.6,1
114,świebodziński,8,27640,28906,8869,38218,9459,5,0.7
115,żagański,8,39941,41862,12156,55400,14247,4.9,-2.9
116,bocheński,12,51625,53140,18307,69957,16501,5.4,2.4
117,chrzanowski,12,61697,65604,17324,84965,25012,4.9,-1.6
118,dąbrowski,12,29649,29864,9099,40529,9885,5,0.6
119,gorlicki,12,54016,55185,18223,72445,18533,5.7,1.5
120,krakowski,12,130413,136236,43620,178792,44237,4.8,0.9
121,limanowski,12,64367,64178,25737,84475,18333,5.9,4.9
122,miechowski,12,24561,25405,7112,32192,10662,4.9,-4.1
123,myślenicki,12,61538,62453,22549,83552,17890,5.7,3.9
124,nowosądecki,12,105105,105940,41555,140258,29232,5.8,4.8
125,nowotarski,12,92784,96839,33322,126702,29599,4.7,2.3
126,olkuski,12,55598,58475,15972,75856,22245,4.6,-1.5
127,oświęcimski,12,75395,79645,22702,102893,29445,5.1,0.1
128,proszowicki,12,21595,22269,6638,28964,8262,4.5,-2.2
129,suski,12,41678,42433,14455,55584,14072,5.7,0.8
130,tarnowski,12,99101,100574,33661,134358,31656,5.4,1.9
131,tatrzański,12,32685,35162,10953,44798,12096,4.9,1.5
132,wadowicki,12,77918,81065,26542,106242,26199,5.3,1.5
133,Tarnów,12,53010,59110,14610,74028,23482,4.5,-0.8
134,wielicki,12,57859,60694,20697,79664,18192,4.3,2.6
135,Kraków,12,353624,405368,99691,499476,159825,4.3,0.3
136,Nowy Sącz,12,40154,43789,13047,55814,15082,5.1,0.9
137,brzeski,12,45964,46817,15747,62068,14966,5.2,1.7
138,makowski,14,23183,23394,7579,30630,8368,4.8,-1.4
139,Radom,14,103823,114643,31143,144946,42377,4.5,-1.3
140,łosicki,14,16021,16080,4885,20854,6362,6,-2.7
141,żyrardowski,14,36515,39876,11957,50134,14300,4.7,-1.3
142,nowodworski,14,38377,40123,12480,52895,13125,4.2,-0.4
143,Ostrołęka,14,25372,27545,7858,36514,8545,5.6,3.5
144,Warszawa,14,791207,933197,240280,1097522,386602,4.2,-0.2
145,ostrołęcki,14,44671,43445,15591,59349,13176,5.4,1.7
146,ostrowski,14,37045,37638,11597,49295,13791,4.1,-1.4
147,otwocki,14,58587,63755,19957,79554,22831,4,0.8
148,piaseczyński,14,82033,89556,31840,112670,27079,4,3.4
149,płocki,14,55120,55927,17749,74588,18710,4.3,-1.1
150,płoński,14,43797,45028,13921,59105,15799,4.5,-1.9
151,pruszkowski,14,75174,83009,25619,102591,29973,3.9,1.9
152,przasnyski,14,26723,26813,9055,35507,8974,5.6,-0.4
153,przysuski,14,21341,21639,6276,28339,8365,5.7,-2.9
154,miński,14,73105,76792,25798,98826,25273,4.3,1.9
155,mławski,14,36370,37672,11724,49375,12943,5.1,-2.4
156,pułtuski,14,25464,25931,8289,34343,8763,4.9,-1.1
157,Siedlce,14,36173,40174,12104,50832,13411,5,3.3
158,radomski,14,75248,75837,26000,102141,22944,5.3,0.7
159,siedlecki,14,41180,40612,13779,53778,14235,5.1,-0.4
160,sierpecki,14,26178,27148,8433,35642,9251,4.8,-0.9
161,sokołowski,14,27663,28149,8107,36351,11354,5,-3.1
162,sochaczewski,14,41394,43761,13343,56742,15070,4.8,0.2
163,szydłowiecki,14,20125,20305,6404,27043,6983,5.3,-1.2
164,warszawski zachodni,14,53495,57489,18781,73042,19161,4.2,0.9
165,węgrowski,14,33705,33891,10538,44496,12562,5.3,0.5
166,Płock,14,58098,64717,17314,81274,24227,4.7,-0.5
167,białobrzeski,14,16985,16684,5772,22308,5589,6,-0.7
168,ciechanowski,14,44718,46260,13749,61730,15499,5,-0.3
169,garwoliński,14,53870,54692,19180,71677,17705,6.1,1.4
170,gostyniński,14,22612,23905,6713,30879,8925,4.4,-1.2
171,grodziski,14,42343,46291,15093,57855,15686,4.2,0.9
172,grójecki,14,48636,50073,15544,65165,18000,4.8,-0.8
173,kozienicki,14,30849,31251,9170,41553,11377,5.3,-0.9
174,zwoleński,14,18386,18581,5838,24531,6598,5.2,-1.9
175,legionowski,14,53621,57428,19774,73287,17988,3.7,2.9
176,lipski,14,17669,17895,4897,23243,7424,4.8,-4.9
177,wołomiński,14,110513,118317,42143,152394,34293,4.3,4.1
178,wyszkowski,14,36613,37301,12590,49502,11822,5,1.7
179,żuromiński,14,19760,20254,6342,26306,7366,4.9,-1.8
180,nyski,16,68381,72247,18576,95104,26948,4.7,-3.3
181,oleski,16,32024,33629,8759,44601,12293,4.9,-1.5
182,strzelecki,16,36998,39081,9910,52323,13846,4.9,-0.9
183,Opole,16,56407,63739,14801,79895,25450,4.7,-1.8
184,głubczycki,16,23130,24323,6397,31728,9328,4.8,-4.3
185,krapkowicki,16,31618,33495,8393,44987,11733,4.7,-0.9
186,brzeski,16,44775,47206,13633,61735,16613,4.4,-1.4
187,namysłowski,16,20999,21882,6312,29061,7508,4.9,-1.7
188,prudnicki,16,27310,29518,7706,37944,11178,4.5,-4.7
